subject,file,link,lineno,DOC,experience-based,statistics-based,tuning machine,smell
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L117,117,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L193,193,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/tools/visualize_results.py,https://github.com/facebookresearch/Detectron/blame/master/tools/visualize_results.py#L83,83,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/tools/pickle_caffe_blobs.py,https://github.com/facebookresearch/Detectron/blame/master/tools/pickle_caffe_blobs.py#L112,112,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/tools/convert_pkl_to_pb.py,https://github.com/facebookresearch/Detectron/blame/master/tools/convert_pkl_to_pb.py#L239,239,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/tools/convert_pkl_to_pb.py,https://github.com/facebookresearch/Detectron/blame/master/tools/convert_pkl_to_pb.py#L375,375,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/tools/convert_pkl_to_pb.py,https://github.com/facebookresearch/Detectron/blame/master/tools/convert_pkl_to_pb.py#L486,486,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/tools/convert_pkl_to_pb.py,https://github.com/facebookresearch/Detectron/blame/master/tools/convert_pkl_to_pb.py#L592,592,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/core/test_engine.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/core/test_engine.py#L84,84,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/core/test.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/core/test.py#L197,197,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/core/test.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/core/test.py#L581,581,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/datasets/json_dataset_evaluator.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/datasets/json_dataset_evaluator.py#L222,222,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/datasets/roidb.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/datasets/roidb.py#L36,36,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/datasets/roidb.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/datasets/roidb.py#L111,111,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/tests/test_bbox_transform.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/tests/test_bbox_transform.py#L77,77,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/utils/net.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/utils/net.py#L172,172,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/utils/model_convert_utils.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/utils/model_convert_utils.py#L69,69,3,1,0,0,True
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/utils/model_convert_utils.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/utils/model_convert_utils.py#L81,81,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/utils/segms.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/utils/segms.py#L47,47,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/utils/segms.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/utils/segms.py#L254,254,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/modeling/detector.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/modeling/detector.py#L368,368,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/modeling/model_builder.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/modeling/model_builder.py#L155,155,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/modeling/model_builder.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/modeling/model_builder.py#L324,324,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/modeling/model_builder.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/modeling/model_builder.py#L341,341,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/modeling/model_builder.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/modeling/model_builder.py#L406,406,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/roi_data/fast_rcnn.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/roi_data/fast_rcnn.py#L238,238,2,0,0,0,False
Detectron,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Detectron/detectron/roi_data/loader.py,https://github.com/facebookresearch/Detectron/blame/master/detectron/roi_data/loader.py#L288,288,2,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L81,81,2,0,0,0,False
Real-Time-Voice-Cloning,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/Real-Time-Voice-Cloning/toolbox/__init__.py,https://github.com/CorentinJ/Real-Time-Voice-Cloning/blame/master/toolbox/__init__.py#L237,237,2,0,0,0,False
