LargeClass, 0, 0, 0
ComplexContainerComprehension, 21, 2, 3
LongTernaryConditionalExpression, 23, 5, 5
LongMessageChain, 0, 2, 2
MultiplyNestedContainer, 1, 1, 1
LongParameterList, 48, 102, 48
LongLambdaFunction, 0, 0, 0
LongScopeChaining, 1, 0, 0
LongMethod, 28, 63, 14
LongBaseClassList, 0, 0, 0
total, 122, 175, 73
LargeClass, 6, 0, 1
ComplexContainerComprehension, 117, 19, 26
LongTernaryConditionalExpression, 59, 1, 1
LongMessageChain, 0, 5, 5
MultiplyNestedContainer, 11, 11, 29
LongParameterList, 37, 110, 37
LongLambdaFunction, 5, 2, 2
LongScopeChaining, 0, 0, 0
LongMethod, 15, 49, 6
LongBaseClassList, 0, 0, 0
total, 250, 197, 107
LargeClass, 0, 0, 0
ComplexContainerComprehension, 2, 0, 0
LongTernaryConditionalExpression, 0, 0, 0
LongMessageChain, 0, 0, 0
MultiplyNestedContainer, 0, 0, 0
LongParameterList, 7, 11, 7
LongLambdaFunction, 0, 0, 0
LongScopeChaining, 0, 0, 0
LongMethod, 11, 12, 5
LongBaseClassList, 0, 0, 0
total, 20, 23, 12
LargeClass, 0, 0, 0
ComplexContainerComprehension, 0, 0, 0
LongTernaryConditionalExpression, 1, 0, 0
LongMessageChain, 0, 0, 0
MultiplyNestedContainer, 0, 0, 0
LongParameterList, 2, 8, 2
LongLambdaFunction, 0, 0, 0
LongScopeChaining, 0, 0, 0
LongMethod, 1, 2, 0
LongBaseClassList, 0, 0, 0
total, 4, 10, 2
LargeClass, 0, 0, 0
ComplexContainerComprehension, 18, 2, 3
LongTernaryConditionalExpression, 15, 8, 8
LongMessageChain, 6, 71, 71
MultiplyNestedContainer, 0, 0, 0
LongParameterList, 11, 29, 11
LongLambdaFunction, 7, 0, 0
LongScopeChaining, 0, 0, 0
LongMethod, 7, 11, 5
LongBaseClassList, 0, 2, 0
total, 64, 123, 98

